abacaxi, 1 rodela grande
acerola, 6 unidades
ameixa preta seca, 2 unidades
ameixa vermelha, 2 unidades
banana prata, 1 unidade média
caqui, 1 unidade média
carambola, 1 unidade média
damasco seco, 3 unidades
goiaba, 1 unidade média
jabuticaba, 3 unidades grandes
kiwi, 1 unidade média
laranja, 1 unidade pequena
maçã vermelha, 1 unidade média
mamão formosa, 1 fatia média
mamão papaia, 1/2 unidade pequena
manga, 1/2 unidade pequena
melancia, 1 fatia fina formato triangular
melão, 1 fatia média
morango, 5 unidades médias
nectarina, 1 unidade
pera, 1 unidade média
pêssego, 1 unidade grande 2 unidades pequenas
salada de frutas sem açucar, 1/2 copo pequeno
uva, 12 bagos
uva italiana ~ 5 bagos
